l1_r,l2_r,recovery,h_emp,l1,l2
155.4162033806091,0.14091571980477074,1,1.4370532496752255,2.2536251450879434,0.0020433597178569417
164.52892122652727,0.14091571980477074,1,1.416535095361938,2.3857648424357114,0.0020433597178569417
173.64163907244549,0.14091571980477074,1,1.3991555977246344,2.51790453978348,0.0020433597178569417
182.75435691836364,0.14091571980477074,1,1.3843165571590597,2.650044237131248,0.0020433597178569417
191.86707476428182,0.14091571980477074,1,1.3715529501854855,2.782183934479016,0.0020433597178569417
200.9797926102,0.14091571980477074,1,1.3604996443795316,2.914323631826784,0.0020433597178569417
210.0925104561182,0.14091571980477074,1,1.350867210637048,3.0464633291745518,0.0020433597178569417
219.20522830203635,0.14091571980477074,1,1.3424241622528748,3.1786030265223197,0.0020433597178569417
228.31794614795456,0.14091571980477074,1,1.3349837819424535,3.310742723870088,0.0020433597178569417
237.43066399387274,0.14091571980477074,1,1.3283942569687248,3.442882421217856,0.0020433597178569417
246.54338183979092,0.14091571980477074,0,1.3225312226748112,3.575022118565624,0.0020433597178569417
255.65609968570908,0.14091571980477074,0,1.3172920758763715,3.707161815913392,0.0020433597178569417
264.7688175316273,0.14091571980477074,0,1.3125916006991742,3.83930151326116,0.0020433597178569417
273.88153537754545,0.14091571980477074,0,1.308358576230666,3.9714412106089285,0.0020433597178569417
282.9942532234636,0.14091571980477074,0,1.3045331248877847,4.103580907956696,0.0020433597178569417
292.1069710693818,0.14091571980477074,0,1.301064624182402,4.235720605304464,0.0020433597178569417
301.2196889153,0.14091571980477074,0,1.2979100503863583,4.3678603026522325,0.0020433597178569417
310.3324067612181,0.14091571980477074,0,1.2950326557912955,4.5,0.0020433597178569417
0.5,0.2014335734276458,0,252.70575871003635,0.007250290175886264,0.00292090371703225
9.612717845918182,0.2014335734276458,1,13.185003795734504,0.13938998752365434,0.00292090371703225
18.725435691836363,0.2014335734276458,1,6.827282734578231,0.27152968487142237,0.00292090371703225
27.838153537754543,0.2014335734276458,1,4.657842524341445,0.4036693822191904,0.00292090371703225
36.95087138367273,0.2014335734276458,1,3.5784132246000127,0.5358090795669586,0.00292090371703225
46.06358922959091,0.2014335734276458,1,2.9423889722018615,0.6679487769147266,0.00292090371703225
55.17630707550909,0.2014335734276458,1,2.5301704127775078,0.8000884742624946,0.00292090371703225
64.28902492142727,0.2014335734276458,1,2.2464456551021095,0.9322281716102627,0.00292090371703225
73.40174276734545,0.2014335734276458,1,2.042999497741197,1.0643678689580307,0.00292090371703225
82.51446061326362,0.2014335734276458,1,1.8927135350568989,1.1965075663057987,0.00292090371703225
91.62717845918182,0.2014335734276458,1,1.7791148867156288,1.328647263653567,0.00292090371703225
100.73989630509999,0.2014335734276458,1,1.6916143369690133,1.4607869610013349,0.00292090371703225
109.85261415101817,0.2014335734276458,1,1.6231154656829563,1.5929266583491029,0.00292090371703225
118.96533199693636,0.2014335734276458,1,1.568713766073979,1.725066355696871,0.00292090371703225
128.07804984285454,0.2014335734276458,1,1.524939357138072,1.857206053044639,0.00292090371703225
137.19076768877272,0.2014335734276458,1,1.4892912154027087,1.9893457503924072,0.00292090371703225
146.3034855346909,0.2014335734276458,1,1.459938233022902,2.1214854477401754,0.00292090371703225
155.4162033806091,0.2014335734276458,1,1.435521136551766,2.2536251450879434,0.00292090371703225
164.52892122652727,0.2014335734276458,1,1.41501808198721,2.3857648424357114,0.00292090371703225
173.64163907244549,0.2014335734276458,1,1.397651773963191,2.51790453978348,0.00292090371703225
182.75435691836364,0.2014335734276458,1,1.3828243185215607,2.650044237131248,0.00292090371703225
191.86707476428182,0.2014335734276458,1,1.370070937498604,2.782183934479016,0.00292090371703225
200.9797926102,0.2014335734276458,1,1.359026698161439,2.914323631826784,0.00292090371703225
210.0925104561182,0.2014335734276458,1,1.3494023357855383,3.0464633291745518,0.00292090371703225
219.20522830203635,0.2014335734276458,1,1.3409665002039615,3.1786030265223197,0.00292090371703225
228.31794614795456,0.2014335734276458,1,1.3335325883944489,3.310742723870088,0.00292090371703225
237.43066399387274,0.2014335734276458,1,1.3269488838500278,3.442882421217856,0.00292090371703225
246.54338183979092,0.2014335734276458,0,1.3210911034087365,3.575022118565624,0.00292090371703225
255.65609968570908,0.2014335734276458,0,1.3158567132461385,3.707161815913392,0.00292090371703225
264.7688175316273,0.2014335734276458,0,1.3111605567881524,3.83930151326116,0.00292090371703225
273.88153537754545,0.2014335734276458,0,1.3069314640350467,3.9714412106089285,0.00292090371703225
282.9942532234636,0.2014335734276458,0,1.303109601287872,4.103580907956696,0.00292090371703225
292.1069710693818,0.2014335734276458,0,1.2996443840250862,4.235720605304464,0.00292090371703225
301.2196889153,0.2014335734276458,0,1.2964928214817313,4.3678603026522325,0.00292090371703225
310.3324067612181,0.2014335734276458,0,1.2936181946652128,4.5,0.00292090371703225
0.5,0.2879415054618842,0,252.43169350802543,0.007250290175886264,0.0041753189365604
9.612717845918182,0.2879415054618842,1,13.170627235360392,0.13938998752365434,0.0041753189365604
18.725435691836363,0.2879415054618842,1,6.819728725131472,0.27152968487142237,0.0041753189365604
27.838153537754543,0.2879415054618842,1,4.652570673148276,0.4036693822191904,0.0041753189365604
36.95087138367273,0.2879415054618842,1,3.5742444356177274,0.5358090795669586,0.0041753189365604
46.06358922959091,0.2879415054618842,1,2.9388467942642316,0.6679487769147266,0.0041753189365604
