Bound Tightness Summary (Median [Min, Max])
Spiked_rho0.5   | n=400 d=500  s=5  | H2 U/E: 1.000364941707697 [1.0002702309967666, 1.0004679817912348] | Hinf U/E: 1.0             [0.9999999999999997, 1.0000000000000002] | H1 U/E: 1.0002893466071927 [0.9999999999999994, 1.0006476509537034]
Spiked_rho0.8   | n=400 d=500  s=5  | H2 U/E: 1.001805265114117 [1.0011615055511252, 1.0026743775690063] | Hinf U/E: 1.0             [0.9999999999999991, 1.0000000000000004] | H1 U/E: 1.0006922033375432 [0.9999999999999998, 1.0019923204257628]
Gaussian        | n=400 d=500  s=10 | H2 U/E: 1.0013156687645322 [1.0010570935821133, 1.0017822438539021] | Hinf U/E: 1.0             [0.9999999999999998, 1.0            ] | H1 U/E: 1.0006638937851542 [0.9999999999999998, 1.002247700928036]
Spiked_rho0.5   | n=400 d=500  s=10 | H2 U/E: 1.0007361605667668 [1.0006204624369612, 1.0010100618900954] | Hinf U/E: 1.0             [0.9999999999999997, 1.0000000000000002] | H1 U/E: 1.0005139811180488 [0.9999999999999994, 1.001487655913647]
Spiked_rho0.8   | n=400 d=500  s=10 | H2 U/E: 1.0041141231726656 [1.003402414647401, 1.005331236188491] | Hinf U/E: 1.0             [0.999999999999999, 1.0000000000000009] | H1 U/E: 1.0016999002275362 [0.9999999999999944, 1.0060942320359492]
Gaussian        | n=400 d=500  s=20 | H2 U/E: 1.001569534008011 [1.001299283425073, 1.0017962552595663] | Hinf U/E: 1.0             [0.9999999999999997, 1.0000000000000002] | H1 U/E: 1.0010590307857055 [0.9999999999999998, 1.0034709149205532]
Spiked_rho0.5   | n=400 d=500  s=20 | H2 U/E: 1.0018871323070062 [1.0015122033447188, 1.0023752426235697] | Hinf U/E: 1.0             [0.9999999999999994, 1.0000000000000007] | H1 U/E: 1.0011040193122733 [1.0000000000000004, 1.0038029394086028]
Spiked_rho0.8   | n=400 d=500  s=20 | H2 U/E: 1.0118259693382716 [1.008275629284498, 1.014115406622566] | Hinf U/E: 1.0             [0.9999999999999968, 1.0000000000000022] | H1 U/E: 1.0041607752329016 [1.000000000000003, 1.0090241580215218]
Gaussian        | n=400 d=500  s=40 | H2 U/E: 1.0021035980685795 [1.0013521226746442, 1.0029239571884434] | Hinf U/E: 1.0             [0.9999999999999998, 1.0            ] | H1 U/E: 1.0018185716326375 [0.9999999999999992, 1.0056868160204233]
Spiked_rho0.5   | n=400 d=500  s=40 | H2 U/E: 1.0054774303702834 [1.004483912444489, 1.0064531178618796] | Hinf U/E: 1.0             [0.9999999999999993, 1.0000000000000018] | H1 U/E: 1.00536596604862 [1.0000000000000002, 1.0128754529201645]
Spiked_rho0.8   | n=400 d=500  s=40 | H2 U/E: 1.0342230245511745 [1.0279748029760103, 1.055328371987361] | Hinf U/E: 1.0             [0.9999999999999961, 1.000000000000005] | H1 U/E: 1.0090163650141752 [1.0000000000000038, 1.0189074647694105]
Gaussian        | n=400 d=1000 s=5  | H2 U/E: 1.0004674818713646 [1.00037857035467, 1.0006290398937079] | Hinf U/E: 1.0             [0.9999999999999999, 1.0000000000000002] | H1 U/E: 1.0001316992493923 [0.9999999999999999, 1.000592916313405]
