Design,n,d,s,MC_Successes,H2_Upper/Exact_Median,H2_Upper/Exact_Min,H2_Upper/Exact_Max,H2_Upper/Lower_Median,H2_Upper/Lower_Min,H2_Upper/Lower_Max,H1_Upper/Exact_Median,H1_Upper/Exact_Min,H1_Upper/Exact_Max,Hinf_Upper/Exact_Median,Hinf_Upper/Exact_Min,Hinf_Upper/Exact_Max
Gaussian,400,1000,10,30,1.0005278816904857,1.0004523378091852,1.0007552771548924,1.1414306280218813,1.1288844450534588,1.151149511029504,1.0001973931340071,0.9999999999999994,1.0008606931796802,1.0,0.9999999999999998,1.0000000000000002
Spiked_rho0.5,400,1000,10,30,1.0004122406408675,1.0003235496333691,1.0004953127531337,1.0063877165275266,1.006174568076346,1.0067737362342286,1.0003162049663141,0.9999999999999998,1.0007918306066965,1.0,0.9999999999999997,1.0000000000000002
Spiked_rho0.8,400,1000,10,30,1.0021773710313635,1.0015426841433606,1.0027799320508315,1.0074210364151626,1.0067056969810095,1.0080615415957717,1.0007993989898814,0.9999999999999976,1.0018654165687737,0.9999999999999999,0.999999999999999,1.0000000000000009
Gaussian,400,1000,20,30,1.0006157797639617,1.000516494936698,1.0009355122249792,1.1202124014812262,1.1066543432245597,1.1291048037450204,1.0006405136144494,1.0000000000000002,1.001224785463761,1.0,0.9999999999999999,1.0000000000000002
Spiked_rho0.5,400,1000,20,30,1.0009911845247226,1.0007862466463253,1.0013849911923576,1.0117626919137708,1.0109860046988786,1.0123985234731765,1.0008786675830925,0.9999999999999996,1.0029400731701168,0.9999999999999999,0.9999999999999994,1.0000000000000004
Spiked_rho0.8,400,1000,20,30,1.0059262875436406,1.0040971838064816,1.0079261697033868,1.0159749183139404,1.0138344306354914,1.018008185122341,1.0023611038767037,1.000000000000003,1.0047885265798344,0.9999999999999998,0.9999999999999978,1.0000000000000022
Gaussian,400,1000,40,30,1.000804350615085,1.0006593837798672,1.0012120617834646,1.096820882651467,1.0902706259727084,1.1017197451991645,1.000815360985607,0.9999999999999998,1.002708464649848,1.0,0.9999999999999996,1.0
Spiked_rho0.5,400,1000,40,30,1.0026945612717961,1.0023265905152579,1.0038579340968277,1.0222072845984551,1.0207549028264842,1.023879886213534,1.0017286873304032,0.9999999999999994,1.0043527159291514,0.9999999999999999,0.9999999999999992,1.0000000000000007
Spiked_rho0.8,400,1000,40,30,1.0171421582397808,1.013125269073714,1.0264138165174141,1.0371057018323113,1.0323696122897144,1.0468066633152822,1.0054716239192816,1.000000000000006,1.0112702430531042,0.9999999999999998,0.9999999999999963,1.000000000000005
Gaussian,400,2000,5,30,1.0001577981245742,1.0001340617537242,1.0002955407520844,1.0841742036047506,1.0781594408154809,1.0885273192176943,1.000080883141221,0.9999999999999997,1.0002223301424633,1.0,0.9999999999999998,1.0000000000000002
