lambda1,lambda2,exact_recovery,TP,FP,FN,conditional_bias,iterations,lambda1_ratio,lambda2_ratio
0.3066616407094392,0.0018873918221350976,1,10,0,0,0.16221850032377025,5000,7.3446303241930275,0.04520355130957429
0.3638186512768086,0.0018873918221350976,1,10,0,0,0.19261298282782408,5000,8.713556389031634,0.04520355130957429
0.42097566184417806,0.0018873918221350976,1,10,0,0,0.22300746533187787,5000,10.08248245387024,0.04520355130957429
0.4781326724115475,0.0018873918221350976,1,10,0,0,0.2534019478359318,5000,11.451408518708844,0.04520355130957429
0.5352896829789169,0.0018873918221350976,1,10,0,0,0.28379643033998514,5000,12.82033458354745,0.04520355130957429
0.5924466935462863,0.0018873918221350976,1,10,0,0,0.31419091284403894,5000,14.189260648386055,0.04520355130957429
0.6496037041136558,0.0018873918221350976,1,10,0,0,0.34458539534809274,5000,15.558186713224659,0.04520355130957429
0.7067607146810252,0.0018873918221350976,1,10,0,0,0.3749798778521466,5000,16.927112778063265,0.04520355130957429
0.7639177252483946,0.0018873918221350976,1,10,0,0,0.4053743603562002,5000,18.296038842901872,0.04520355130957429
0.8210747358157641,0.0018873918221350976,1,10,0,0,0.4357688428602538,5000,19.664964907740476,0.04520355130957429
0.8782317463831335,0.0018873918221350976,1,10,0,0,0.46616332536430766,5000,21.033890972579083,0.04520355130957429
0.9353887569505029,0.0018873918221350976,1,10,0,0,0.4965578078683614,5000,22.402817037417687,0.04520355130957429
0.9925457675178724,0.0018873918221350976,1,10,0,0,0.5269522903724153,5000,23.771743102256295,0.04520355130957429
1.049702778085242,0.0018873918221350976,1,10,0,0,0.557346772876469,5000,25.140669167094902,0.04520355130957429
1.1068597886526115,0.0018873918221350976,1,10,0,0,0.5877412553805227,5000,26.50959523193351,0.04520355130957429
1.1640167992199808,0.0018873918221350976,1,10,0,0,0.6181357378845764,5000,27.878521296772114,0.04520355130957429
1.2211738097873501,0.0018873918221350976,1,10,0,0,0.6485302203886303,5000,29.247447361610714,0.04520355130957429
1.2783308203547197,0.0018873918221350976,1,10,0,0,0.6789247028926839,5000,30.616373426449325,0.04520355130957429
1.3354878309220892,0.0018873918221350976,1,10,0,0,0.7093191853967379,5000,31.985299491287932,0.04520355130957429
1.3926448414894586,0.0018873918221350976,1,10,0,0,0.7397136679007914,5000,33.354225556126536,0.04520355130957429
1.4498018520568279,0.0018873918221350976,1,10,0,0,0.7701081504048451,5000,34.72315162096514,0.04520355130957429
1.5069588626241974,0.0018873918221350976,1,10,0,0,0.800502632908899,5000,36.092077685803744,0.04520355130957429
1.564115873191567,0.0018873918221350976,0,9,0,1,0.8113968151104216,5000,37.461003750642355,0.04520355130957429
1.6212728837589363,0.0018873918221350976,0,8,0,2,0.8176667280118064,5000,38.82992981548096,0.04520355130957429
1.6784298943263056,0.0018873918221350976,0,7,0,3,0.8234631064332347,5000,40.19885588031956,0.04520355130957429
1.7355869048936752,0.0018873918221350976,0,6,0,4,0.8256905711236371,5000,41.56778194515817,0.04520355130957429
1.7927439154610447,0.0018873918221350976,0,6,0,4,0.8540422392745127,5000,42.93670800999678,0.04520355130957429
1.849900926028414,0.0018873918221350976,0,6,0,4,0.8823939074253883,5000,44.30563407483538,0.04520355130957429
1.9070579365957834,0.0018873918221350976,0,5,0,5,0.8863605804583706,5000,45.67456013967398,0.04520355130957429
1.964214947163153,0.0018873918221350976,0,4,0,6,0.8890015424648705,5000,47.04348620451259,0.04520355130957429
2.0213719577305223,0.0018873918221350976,0,3,0,7,0.8842055977647602,5000,48.412412269351194,0.04520355130957429
2.0785289682978916,0.0018873918221350976,0,2,0,8,0.8703437272459921,5000,49.7813383341898,0.04520355130957429
